+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                                                             ;
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                                                         ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; top_inst|rst_controller_002|alt_rst_req_sync_uq1                                                                                                                                                                                  ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|rst_controller_002|alt_rst_sync_uq1                                                                                                                                                                                      ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|rst_controller_002                                                                                                                                                                                                       ; 33    ; 31             ; 0            ; 31             ; 1      ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|rst_controller_001|alt_rst_req_sync_uq1                                                                                                                                                                                  ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|rst_controller_001|alt_rst_sync_uq1                                                                                                                                                                                      ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|rst_controller_001                                                                                                                                                                                                       ; 33    ; 31             ; 0            ; 31             ; 1      ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|rst_controller|alt_rst_req_sync_uq1                                                                                                                                                                                      ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|rst_controller|alt_rst_sync_uq1                                                                                                                                                                                          ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|rst_controller                                                                                                                                                                                                           ; 33    ; 31             ; 0            ; 31             ; 2      ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_2|avalon_st_adapter|error_adapter_0                                                                                                                                                                      ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_2|avalon_st_adapter                                                                                                                                                                                      ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_2|rsp_mux_001                                                                                                                                                                                            ; 142   ; 0              ; 2            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_2|rsp_mux                                                                                                                                                                                                ; 142   ; 0              ; 2            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_2|rsp_demux                                                                                                                                                                                              ; 143   ; 4              ; 2            ; 4              ; 279    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_2|cmd_mux|arb|adder                                                                                                                                                                                      ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_2|cmd_mux|arb                                                                                                                                                                                            ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_2|cmd_mux                                                                                                                                                                                                ; 281   ; 0              ; 0            ; 0              ; 141    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_2|cmd_demux_001                                                                                                                                                                                          ; 142   ; 1              ; 2            ; 1              ; 140    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_2|cmd_demux                                                                                                                                                                                              ; 142   ; 1              ; 2            ; 1              ; 140    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_2|router_002|the_default_decode                                                                                                                                                                          ; 0     ; 2              ; 0            ; 2              ; 2      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_2|router_002                                                                                                                                                                                             ; 140   ; 0              ; 2            ; 0              ; 140    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_2|router_001|the_default_decode                                                                                                                                                                          ; 0     ; 3              ; 0            ; 3              ; 3      ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_2|router_001                                                                                                                                                                                             ; 140   ; 3              ; 3            ; 3              ; 140    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_2|router|the_default_decode                                                                                                                                                                              ; 0     ; 3              ; 0            ; 3              ; 3      ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_2|router                                                                                                                                                                                                 ; 140   ; 3              ; 3            ; 3              ; 140    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_2|pcie_256_hip_avmm_0_txs_agent_rsp_fifo                                                                                                                                                                 ; 180   ; 39             ; 0            ; 39             ; 139    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_2|pcie_256_hip_avmm_0_txs_agent|uncompressor                                                                                                                                                             ; 78    ; 1              ; 0            ; 1              ; 76     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_2|pcie_256_hip_avmm_0_txs_agent                                                                                                                                                                          ; 355   ; 39             ; 39           ; 39             ; 420    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_2|pcie_256_hip_avmm_0_wr_dcm_master_agent                                                                                                                                                                ; 249   ; 31             ; 108          ; 31             ; 172    ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_2|pcie_256_hip_avmm_0_rd_dcm_master_agent                                                                                                                                                                ; 249   ; 31             ; 108          ; 31             ; 172    ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_2|pcie_256_hip_avmm_0_txs_translator                                                                                                                                                                     ; 147   ; 4              ; 0            ; 4              ; 137    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_2|pcie_256_hip_avmm_0_wr_dcm_master_translator                                                                                                                                                           ; 148   ; 13             ; 2            ; 13             ; 141    ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_2|pcie_256_hip_avmm_0_rd_dcm_master_translator                                                                                                                                                           ; 148   ; 13             ; 2            ; 13             ; 141    ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_2                                                                                                                                                                                                        ; 240   ; 0              ; 0            ; 0              ; 171    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|avalon_st_adapter|error_adapter_0                                                                                                                                                                      ; 134   ; 1              ; 2            ; 1              ; 133    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|avalon_st_adapter                                                                                                                                                                                      ; 134   ; 0              ; 0            ; 0              ; 133    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|rsp_mux                                                                                                                                                                                                ; 256   ; 0              ; 2            ; 0              ; 254    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|rsp_demux                                                                                                                                                                                              ; 256   ; 1              ; 2            ; 1              ; 254    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|cmd_mux                                                                                                                                                                                                ; 256   ; 0              ; 2            ; 0              ; 254    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|cmd_demux                                                                                                                                                                                              ; 256   ; 1              ; 2            ; 1              ; 254    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; top_inst|mm_interconnect_1|onchip_memory2_0_s2_burst_adapter|altera_merlin_burst_adapter_13_1.burst_adapter|the_min|dc_sub|subtract                                                                                               ; 23    ; 1              ; 0            ; 1              ; 11     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
