# Si538x/4x Settings Export
# 
# Part: Si5347
# Project File: Si5347-Edited-Project1.slabtimeproj
# Design ID: <none>
# Export Mode: AllNonSpecialUserRegisters
# Setting Names: Customer
# Die Revision: B1
# Creator: CBProMultiProjectExport v2.23.5 [2018-05-02]
# Created On: 2018-05-02 10:36:41 GMT-05:00
Location,SettingName,DecimalValue,HexValue
0x0006[23:0],TOOL_VERSION,0,0x000000
0x000B[6:0],I2C_ADDR,108,0x6C
0x0016[0],LOL_ON_HOLD_PLLA,1,0x1
0x0016[1],LOL_ON_HOLD_PLLB,1,0x1
0x0016[2],LOL_ON_HOLD_PLLC,1,0x1
0x0016[3],LOL_ON_HOLD_PLLD,1,0x1
0x0017[0],SYSINCAL_INTR_MSK,0,0x0
0x0017[1],LOSXAXB_INTR_MSK,0,0x0
0x0017[2],LOSREF_INTR_MSK,1,0x1
0x0017[3],XAXB_ERR_INTR_MSK,1,0x1
0x0017[5],SMB_TMOUT_INTR_MSK,0,0x0
0x0018[3:0],LOS_INTR_MSK,0,0x0
0x0018[7:4],OOF_INTR_MSK,0,0x0
0x0019[0],LOL_INTR_MSK_PLLA,0,0x0
0x0019[1],LOL_INTR_MSK_PLLB,0,0x0
0x0019[2],LOL_INTR_MSK_PLLC,0,0x0
0x0019[3],LOL_INTR_MSK_PLLD,0,0x0
0x0019[4],HOLD_INTR_MSK_PLLA,0,0x0
0x0019[5],HOLD_INTR_MSK_PLLB,0,0x0
0x0019[6],HOLD_INTR_MSK_PLLC,0,0x0
0x0019[7],HOLD_INTR_MSK_PLLD,0,0x0
0x001A[4],CAL_INTR_MSK_PLLA,0,0x0
0x001A[5],CAL_INTR_MSK_PLLB,0,0x0
0x001A[6],CAL_INTR_MSK_PLLC,0,0x0
0x001A[7],CAL_INTR_MSK_PLLD,0,0x0
0x0020[0],FSTEP_PLL_SINGLE,1,0x1
0x0020[1],FSTEP_PLL_REGCTRL,0,0x0
0x0020[3:2],FSTEP_PLL,0,0x0
0x002B[3],SPI_3WIRE,0,0x0
0x002C[3:0],LOS_EN,15,0xF
0x002C[4],LOSXAXB_DIS,0,0x0
0x002D[1:0],LOS0_VAL_TIME,1,0x1
0x002D[3:2],LOS1_VAL_TIME,1,0x1
0x002D[5:4],LOS2_VAL_TIME,1,0x1
0x002D[7:6],LOS3_VAL_TIME,1,0x1
0x002E[15:0],LOS0_TRG_THR,2832,0x0B10
0x0030[15:0],LOS1_TRG_THR,2832,0x0B10
0x0032[15:0],LOS2_TRG_THR,2832,0x0B10
0x0034[15:0],LOS3_TRG_THR,2832,0x0B10
0x0036[15:0],LOS0_CLR_THR,2832,0x0B10
0x0038[15:0],LOS1_CLR_THR,2832,0x0B10
0x003A[15:0],LOS2_CLR_THR,2832,0x0B10
0x003C[15:0],LOS3_CLR_THR,2832,0x0B10
0x003F[3:0],OOF_EN,15,0xF
0x003F[7:4],FAST_OOF_EN,15,0xF
0x0040[2:0],OOF_REF_SEL,4,0x4
0x0041[4:0],OOF0_DIV_SEL,11,0x0B
0x0042[4:0],OOF1_DIV_SEL,11,0x0B
0x0043[4:0],OOF2_DIV_SEL,11,0x0B
0x0044[4:0],OOF3_DIV_SEL,11,0x0B
0x0045[4:0],OOFXO_DIV_SEL,12,0x0C
0x0046[7:0],OOF0_SET_THR,50,0x32
0x0047[7:0],OOF1_SET_THR,50,0x32
0x0048[7:0],OOF2_SET_THR,50,0x32
0x0049[7:0],OOF3_SET_THR,50,0x32
0x004A[7:0],OOF0_CLR_THR,49,0x31
0x004B[7:0],OOF1_CLR_THR,49,0x31
0x004C[7:0],OOF2_CLR_THR,49,0x31
0x004D[7:0],OOF3_CLR_THR,49,0x31
0x004E[2:0],OOF0_DETWIN_SEL,5,0x5
0x004E[6:4],OOF1_DETWIN_SEL,5,0x5
0x004F[2:0],OOF2_DETWIN_SEL,5,0x5
0x004F[6:4],OOF3_DETWIN_SEL,5,0x5
0x0050[3:0],OOF_ON_LOS,15,0xF
0x0051[3:0],FAST_OOF0_SET_THR,3,0x3
0x0052[3:0],FAST_OOF1_SET_THR,3,0x3
0x0053[3:0],FAST_OOF2_SET_THR,3,0x3
0x0054[3:0],FAST_OOF3_SET_THR,3,0x3
0x0055[3:0],FAST_OOF0_CLR_THR,2,0x2
0x0056[3:0],FAST_OOF1_CLR_THR,2,0x2
0x0057[3:0],FAST_OOF2_CLR_THR,2,0x2
0x0058[3:0],FAST_OOF3_CLR_THR,2,0x2
0x0059[1:0],FAST_OOF0_DETWIN_SEL,1,0x1
0x0059[3:2],FAST_OOF1_DETWIN_SEL,1,0x1
0x0059[5:4],FAST_OOF2_DETWIN_SEL,1,0x1
0x0059[7:6],FAST_OOF3_DETWIN_SEL,1,0x1
0x005A[25:0],OOF0_RATIO_REF,17476266,0x10AAAAA
0x005E[25:0],OOF1_RATIO_REF,17476266,0x10AAAAA
0x0062[25:0],OOF2_RATIO_REF,13589544,0x0CF5C28
0x0066[25:0],OOF3_RATIO_REF,13589544,0x0CF5C28
0x0092[0],LOL_FST_EN_PLLA,1,0x1
0x0092[1],LOL_FST_EN_PLLB,1,0x1
0x0092[2],LOL_FST_EN_PLLC,1,0x1
0x0092[3],LOL_FST_EN_PLLD,1,0x1
0x0093[3:0],LOL_FST_DETWIN_SEL_PLLA,10,0xA
0x0093[7:4],LOL_FST_DETWIN_SEL_PLLB,10,0xA
0x0094[3:0],LOL_FST_DETWIN_SEL_PLLC,10,0xA
0x0094[7:4],LOL_FST_DETWIN_SEL_PLLD,10,0xA
0x0095[1:0],LOL_FST_VALWIN_SEL_PLLA,0,0x0
0x0095[3:2],LOL_FST_VALWIN_SEL_PLLB,0,0x0
0x0095[5:4],LOL_FST_VALWIN_SEL_PLLC,0,0x0
0x0095[7:6],LOL_FST_VALWIN_SEL_PLLD,0,0x0
0x0096[3:0],LOL_FST_SET_THR_SEL_PLLA,8,0x8
0x0096[7:4],LOL_FST_SET_THR_SEL_PLLB,8,0x8
0x0097[3:0],LOL_FST_SET_THR_SEL_PLLC,8,0x8
0x0097[7:4],LOL_FST_SET_THR_SEL_PLLD,8,0x8
0x0098[3:0],LOL_FST_CLR_THR_SEL_PLLA,6,0x6
0x0098[7:4],LOL_FST_CLR_THR_SEL_PLLB,6,0x6
0x0099[3:0],LOL_FST_CLR_THR_SEL_PLLC,6,0x6
0x0099[7:4],LOL_FST_CLR_THR_SEL_PLLD,6,0x6
