Address,Varies,P1,P2,P3
0x0006,No,0x00,0x00,0x00
0x0007,No,0x00,0x00,0x00
0x0008,No,0x00,0x00,0x00
0x000B,No,0x6C,0x6C,0x6C
0x0016,No,0x0F,0x0F,0x0F
0x0017,No,0xDC,0xDC,0xDC
0x0018,No,0x00,0x00,0x00
0x0019,No,0x00,0x00,0x00
0x001A,No,0x0F,0x0F,0x0F
0x0020,No,0x01,0x01,0x01
0x002B,No,0x02,0x02,0x02
0x002C,No,0x0F,0x0F,0x0F
0x002D,No,0x55,0x55,0x55
0x002E,Yes,0x8C,0x10,0x10
0x002F,Yes,0x0A,0x0B,0x0B
0x0030,Yes,0x8C,0x10,0x10
0x0031,Yes,0x0A,0x0B,0x0B
0x0032,Yes,0x8C,0x10,0x10
0x0033,Yes,0x0A,0x0B,0x0B
0x0034,Yes,0x8C,0x10,0x10
0x0035,Yes,0x0A,0x0B,0x0B
0x0036,Yes,0x8C,0x10,0x10
0x0037,Yes,0x0A,0x0B,0x0B
0x0038,Yes,0x8C,0x10,0x10
0x0039,Yes,0x0A,0x0B,0x0B
0x003A,Yes,0x8C,0x10,0x10
0x003B,Yes,0x0A,0x0B,0x0B
0x003C,Yes,0x8C,0x10,0x10
0x003D,Yes,0x0A,0x0B,0x0B
0x003F,No,0xFF,0xFF,0xFF
0x0040,No,0x04,0x04,0x04
0x0041,No,0x0B,0x0B,0x0B
0x0042,No,0x0B,0x0B,0x0B
0x0043,No,0x0B,0x0B,0x0B
0x0044,No,0x0B,0x0B,0x0B
0x0045,No,0x0C,0x0C,0x0C
0x0046,No,0x32,0x32,0x32
0x0047,No,0x32,0x32,0x32
0x0048,No,0x32,0x32,0x32
0x0049,No,0x32,0x32,0x32
0x004A,No,0x31,0x31,0x31
0x004B,No,0x31,0x31,0x31
0x004C,No,0x31,0x31,0x31
0x004D,No,0x31,0x31,0x31
0x004E,No,0x55,0x55,0x55
0x004F,No,0x55,0x55,0x55
0x0050,No,0x0F,0x0F,0x0F
