Address,Varies,P1,P2
0x0006,No,0x00,0x00
0x0007,No,0x00,0x00
0x0008,No,0x00,0x00
0x000B,No,0x68,0x68
0x0016,No,0x02,0x02
0x0017,No,0xDC,0xDC
0x0018,No,0xCC,0xCC
0x0019,No,0xDD,0xDD
0x001A,No,0xDF,0xDF
0x002B,No,0x02,0x02
0x002C,No,0x03,0x03
0x002D,No,0x05,0x05
0x002E,No,0x39,0x39
0x002F,No,0x00,0x00
0x0030,No,0x39,0x39
0x0031,No,0x00,0x00
0x0032,No,0x00,0x00
0x0033,No,0x00,0x00
0x0034,No,0x00,0x00
0x0035,No,0x00,0x00
0x0036,No,0x39,0x39
0x0037,No,0x00,0x00
0x0038,No,0x39,0x39
0x0039,No,0x00,0x00
0x003A,No,0x00,0x00
0x003B,No,0x00,0x00
0x003C,No,0x00,0x00
0x003D,No,0x00,0x00
0x003F,No,0x33,0x33
0x0040,No,0x04,0x04
0x0041,No,0x0B,0x0B
0x0042,No,0x0B,0x0B
0x0043,No,0x00,0x00
0x0044,No,0x00,0x00
0x0045,No,0x0C,0x0C
0x0046,No,0x32,0x32
0x0047,No,0x32,0x32
0x0048,No,0x00,0x00
0x0049,No,0x00,0x00
0x004A,No,0x31,0x31
0x004B,No,0x31,0x31
0x004C,No,0x00,0x00
0x004D,No,0x00,0x00
0x004E,No,0x55,0x55
0x004F,No,0x00,0x00
0x0050,No,0x0F,0x0F
0x0051,No,0x03,0x03
0x0052,No,0x03,0x03
0x0053,No,0x00,0x00
0x0054,No,0x00,0x00
0x0055,No,0x02,0x02
0x0056,No,0x02,0x02
0x0057,No,0x00,0x00
0x0058,No,0x00,0x00
0x0059,No,0x05,0x05
0x005A,No,0x28,0x28
0x005B,No,0x5C,0x5C
0x005C,No,0xCF,0xCF
0x005D,No,0x00,0x00
0x005E,No,0x28,0x28
0x005F,No,0x5C,0x5C
0x0060,No,0xCF,0xCF
0x0061,No,0x00,0x00
0x0062,No,0x00,0x00
0x0063,No,0x00,0x00
0x0064,No,0x00,0x00
0x0065,No,0x00,0x00
0x0066,No,0x00,0x00
0x0067,No,0x00,0x00
0x0068,No,0x00,0x00
0x0069,No,0x00,0x00
0x0092,No,0x02,0x02
0x0093,No,0xA0,0xA0
0x0095,No,0x00,0x00
0x0096,No,0x80,0x80
0x0098,No,0x60,0x60
0x009A,No,0x02,0x02
0x009B,No,0x60,0x60
0x009D,Yes,0x08,0x04
0x009E,No,0x40,0x40
0x00A0,No,0x20,0x20
0x00A2,No,0x00,0x00
0x00A9,Yes,0x33,0x37
0x00AA,Yes,0x63,0x30
0x00AB,No,0x00,0x00
0x00AC,No,0x00,0x00
0x00E5,No,0x21,0x21
0x00EA,Yes,0x0A,0x05
0x00EB,Yes,0x60,0x30
0x00EC,No,0x00,0x00
0x00ED,No,0x00,0x00
0x0102,No,0x01,0x01
0x0108,Yes,0x06,0x01
0x0109,No,0x09,0x09
0x010A,No,0x3B,0x3B
0x010B,Yes,0x2B,0x28
0x010D,No,0x06,0x06
0x010E,No,0x09,0x09
0x010F,No,0x3B,0x3B
0x0110,Yes,0x29,0x2A
0x0112,No,0x02,0x02
0x0113,No,0x09,0x09
0x0114,No,0x3B,0x3B
0x0115,Yes,0x29,0x2A
0x0117,No,0x01,0x01
0x0118,No,0x09,0x09
0x0119,No,0x3B,0x3B
0x011A,No,0x28,0x28
0x011C,No,0x02,0x02
0x011D,No,0x09,0x09
0x011E,No,0x3B,0x3B
0x011F,Yes,0x2A,0x29
0x0121,No,0x06,0x06
0x0122,No,0x09,0x09
0x0123,No,0x3B,0x3B
0x0124,Yes,0x2A,0x29
0x0126,No,0x02,0x02
0x0127,No,0x09,0x09
0x0128,No,0x3B,0x3B
0x0129,Yes,0x2C,0x2B
0x012B,No,0x01,0x01
0x012C,No,0x09,0x09
0x012D,No,0x3B,0x3B
0x012E,No,0x28,0x28
0x0130,No,0x02,0x02
0x0131,No,0x09,0x09
0x0132,No,0x3B,0x3B
0x0133,No,0x28,0x28
0x013A,No,0x06,0x06
0x013B,No,0x09,0x09
0x013C,No,0x3B,0x3B
0x013D,No,0x28,0x28
0x013F,No,0x00,0x00
0x0140,No,0x00,0x00
0x0141,No,0x40,0x40
0x0142,No,0xFF,0xFF
0x0206,No,0x00,0x00
0x0208,No,0x0A,0x0A
0x0209,No,0x00,0x00
0x020A,No,0x00,0x00
0x020B,No,0x00,0x00
0x020C,No,0x00,0x00
0x020D,No,0x00,0x00
0x020E,No,0x01,0x01
0x020F,No,0x00,0x00
0x0210,No,0x00,0x00
0x0211,No,0x00,0x00
0x0212,No,0x0A,0x0A
0x0213,No,0x00,0x00
0x0214,No,0x00,0x00
0x0215,No,0x00,0x00
0x0216,No,0x00,0x00
0x0217,No,0x00,0x00
0x0218,No,0x01,0x01
0x0219,No,0x00,0x00
0x021A,No,0x00,0x00
0x021B,No,0x00,0x00
0x021C,No,0x00,0x00
0x021D,No,0x00,0x00
0x021E,No,0x00,0x00
0x021F,No,0x00,0x00
0x0220,No,0x00,0x00
0x0221,No,0x00,0x00
0x0222,No,0x00,0x00
0x0223,No,0x00,0x00
0x0224,No,0x00,0x00
0x0225,No,0x00,0x00
0x0226,No,0x00,0x00
0x0227,No,0x00,0x00
0x0228,No,0x00,0x00
0x0229,No,0x00,0x00
0x022A,No,0x00,0x00
0x022B,No,0x00,0x00
0x022C,No,0x00,0x00
0x022D,No,0x00,0x00
0x022E,No,0x00,0x00
0x022F,No,0x00,0x00
0x0231,No,0x0B,0x0B
0x0232,No,0x0B,0x0B
