# Si538x/4x Registers Script
# 
# Part: Si5347
# Project File: Si5347-RevD-Project.slabtimeproj
# Design ID: <none>
# Includes Pre/Post Download Control Register Writes: Yes
# Die Revision: B1
# Creator: CBProFOTF1 v2.26.7 [2018-08-30]
# Created On: 2018-08-30 12:05:22 GMT-05:00
Address,Data
# 
# Start configuration preamble
0x0B24,0xC0
0x0B25,0x00
# Rev D stuck divider fix
0x0B4E,0x1A
# End configuration preamble
# 
# Delay 300 msec
#    Delay is worst case time for device to complete any calibration
#    that is running due to device state change previous to this script
#    being processed.
# 
# Start configuration registers
0x0006,0x00
0x0007,0x00
0x0008,0x00
0x000B,0x6C
0x0016,0x0F
0x0017,0xDC
0x0018,0x00
0x0019,0x00
0x001A,0x0F
0x0020,0x01
0x002B,0x02
0x002C,0x0F
0x002D,0x55
0x002E,0x3B
0x002F,0x00
0x0030,0x3B
0x0031,0x00
0x0032,0x3B
0x0033,0x00
0x0034,0x3B
0x0035,0x00
0x0036,0x3B
0x0037,0x00
0x0038,0x3B
0x0039,0x00
0x003A,0x3B
0x003B,0x00
0x003C,0x3B
0x003D,0x00
0x003F,0xFF
0x0040,0x04
0x0041,0x0B
0x0042,0x0B
0x0043,0x0B
0x0044,0x0B
0x0045,0x0C
0x0046,0x32
0x0047,0x32
0x0048,0x32
0x0049,0x32
0x004A,0x31
0x004B,0x31
0x004C,0x31
0x004D,0x31
0x004E,0x55
0x004F,0x55
0x0050,0x0F
0x0051,0x03
0x0052,0x03
0x0053,0x03
0x0054,0x03
0x0055,0x02
0x0056,0x02
0x0057,0x02
0x0058,0x02
0x0059,0x55
0x005A,0xAA
0x005B,0xAA
0x005C,0x0A
0x005D,0x01
0x005E,0xAA
0x005F,0xAA
0x0060,0x0A
0x0061,0x01
0x0062,0x28
0x0063,0x5C
0x0064,0xCF
0x0065,0x00
0x0066,0x28
0x0067,0x5C
0x0068,0xCF
0x0069,0x00
0x0092,0x0F
0x0093,0xAA
0x0094,0xAA
0x0095,0x00
0x0096,0x88
0x0097,0x88
0x0098,0x66
0x0099,0x66
0x009A,0x0F
0x009B,0x66
0x009C,0x66
0x009D,0x99
0x009E,0x44
0x009F,0x44
0x00A0,0x22
0x00A1,0x22
0x00A2,0x00
0x00A4,0xC5
0x00A5,0x31
0x00A6,0x00
0x00A7,0x00
0x00A9,0x7D
0x00AA,0x62
0x00AB,0x00
0x00AC,0x00
0x00AE,0xD5
0x00AF,0x31
0x00B0,0x00
0x00B1,0x00
0x00B3,0xFA
0x00B4,0x61
0x00B5,0x00
0x00B6,0x00
0x00E5,0xF1
0x00E6,0x05
0x00E7,0x30
0x00E8,0x00
0x00E9,0x00
0x00EA,0x0A
0x00EB,0x60
0x00EC,0x00
0x00ED,0x00
0x00EE,0x05
0x00EF,0x30
0x00F0,0x00
0x00F1,0x00
0x00F2,0x0A
0x00F3,0x60
0x00F4,0x00
0x00F5,0x00
0x0102,0x01
0x0108,0x02
0x0109,0x09
0x010A,0x3B
0x010B,0x28
0x010C,0x01
0x0112,0x06
0x0113,0x09
0x0114,0x3B
0x0115,0x28
0x0116,0x01
0x0117,0x02
0x0118,0x09
0x0119,0x3B
0x011A,0x29
0x011B,0x02
0x011C,0x02
0x011D,0x09
0x011E,0x3B
0x011F,0x29
0x0120,0x02
0x0126,0x02
0x0127,0x09
0x0128,0x3B
0x0129,0x2A
0x012A,0x03
0x012B,0x06
0x012C,0x09
0x012D,0x3B
0x012E,0x2A
0x012F,0x03
0x0130,0x02
0x0131,0x09
0x0132,0x3B
0x0133,0x2B
0x0134,0x04
0x013A,0x02
0x013B,0x09
0x013C,0x3B
0x013D,0x2B
0x013E,0x04
0x013F,0x00
0x0140,0x00
0x0141,0x40
0x0142,0xFF
0x0206,0x00
0x0208,0x0D
0x0209,0x00
0x020A,0x00
0x020B,0x00
0x020C,0x00
0x020D,0x00
0x020E,0x01
0x020F,0x00
0x0210,0x00
0x0211,0x00
0x0212,0x0D
0x0213,0x00
0x0214,0x00
0x0215,0x00
0x0216,0x00
0x0217,0x00
0x0218,0x01
0x0219,0x00
0x021A,0x00
0x021B,0x00
0x021C,0x0A
0x021D,0x00
0x021E,0x00
0x021F,0x00
0x0220,0x00
0x0221,0x00
0x0222,0x01
0x0223,0x00
0x0224,0x00
0x0225,0x00
0x0226,0x0A
0x0227,0x00
0x0228,0x00
0x0229,0x00
0x022A,0x00
0x022B,0x00
0x022C,0x01
0x022D,0x00
0x022E,0x00
0x022F,0x00
