# DSPLLA Register Script - Plan1
#
# Base Project: Si5347-RevD-Project.slabtimeproj
# Part: Si5347
# Design ID: <none>
# Inputs Vary Between Plans: Yes
# Created By: CBProFOTF1 v2.26.7 [2018-08-30]
# Timestamp: 2018-08-30 12:05:24 GMT-05:00
#
# IN0:  155.52 MHz
#       on DSPLL A
# IN1:  155.52 MHz
#       on DSPLL A
# OUT0: 148.5 MHz
# OUT1: 27 MHz
# 
# Fpfd = 1.9938461538461538... MHz [ 1 + 323/325 MHz ]
# Fdco = 1.188 GHz [ 1 + 47/250 GHz ]
# 
# P0 = 78/1
# P1 = 78/1
# MA = 595.8333333333333333... [ 595 + 5/6 ]
# N0 = 11.8989898989898989... [ 11 + 89/99 ]
# R0 = 8
# R1 = 44
# 
# Nominal Bandwidth:
#   Desired: 20.000 Hz
#   Actual:  18.373 Hz
#   Coefficients:
#      BW0:  14
#      BW1:  26
#      BW2:  15
#      BW3:  14
#      BW4:  1
#      BW5:  63
# Fastlock Bandwidth:
#   Desired: 100.000 Hz
#   Actual:  73.500 Hz
#   Coefficients:
#      BW0:  16
#      BW1:  33
#      BW2:  13
#      BW3:  12
#      BW4:  1
#      BW5:  63
# Holdover Bandwidth:
#    N/A (Ramped Exit from Holdover)
# 
# LOL:
#    Set Threshold:   30 ppm
#    Clear Threshold: 3 ppm
# 
# Precision OOF:
# 
# Input  Enable   Assert Threshold  De-Assert Threshold
# -----  -------  ----------------  -------------------
# IN0    Enabled  10.0000 ppm       1.0000 ppm         
# IN1    Enabled  100.0000 ppm      98.0000 ppm        
# 
# Fast OOF:
# 
# Input  Enable   Assert Threshold  De-Assert Threshold
# -----  -------  ----------------  -------------------
# IN0    Enabled  2000 ppm          1000 ppm           
# IN1    Enabled  4000 ppm          3000 ppm           
# 
Address,Value,Mask
# If mask is 0xFF, no read-modify-write is required. Otherwise, 
# read register value and write to device Read&~Mask + Value&Mask
# Configuration Preamble
0x010C,0x00,0xFF
0x0116,0x00,0xFF
0x0B3C,0x00,0xFF
0x0B3D,0x00,0xFF
0x042C,0x86,0xFF
0x0436,0x00,0xFF
0x002C,0x0C,0xFF
0x003F,0xCC,0xFF
0x0092,0x0E,0xFF
0x009A,0x0E,0xFF
# Write Configuration
0x002E,0x39,0xFF
0x0030,0x39,0xFF
0x0036,0x39,0xFF
0x0038,0x39,0xFF
0x0041,0x0E,0xFF
0x0042,0x0E,0xFF
0x0046,0x05,0xFF
0x004A,0x00,0xFF
0x0051,0x01,0xFF
0x0055,0x00,0xFF
0x005A,0x28,0xFF
0x005B,0x5C,0xFF
0x005C,0xCF,0xFF
0x005D,0x00,0xFF
0x005E,0x28,0xFF
0x005F,0x5C,0xFF
0x0060,0xCF,0xFF
0x0061,0x00,0xFF
0x0096,0x89,0x0F
0x0098,0x67,0x0F
0x009B,0x65,0x0F
0x009D,0x99,0x03
0x009E,0x45,0x0F
0x00A0,0x23,0x0F
0x00A4,0x4B,0xFF
0x00A5,0xB9,0xFF
0x00A6,0x03,0xFF
0x00E6,0xD1,0xFF
0x00E7,0xB1,0xFF
0x00E8,0x03,0xFF
0x0112,0x02,0xFF
0x0208,0x4E,0xFF
0x0212,0x4E,0xFF
0x0250,0x15,0xFF
0x028E,0x10,0xFF
0x0294,0xCA,0x0F
0x0296,0x0E,0xF1
0x029A,0xF5,0xFF
0x029B,0x0E,0xFF
0x02A7,0x26,0xFF
0x0304,0x00,0xFF
0x0305,0x34,0xFF
0x0306,0x09,0xFF
0x030A,0x00,0xFF
0x030B,0xC6,0xFF
0x0408,0x0E,0xFF
0x0409,0x1A,0xFF
0x040A,0x0F,0xFF
0x040B,0x0E,0xFF
0x040C,0x01,0xFF
0x040E,0x10,0xFF
0x040F,0x21,0xFF
0x0410,0x0D,0xFF
0x0411,0x0C,0xFF
0x0412,0x01,0xFF
0x0417,0x00,0xFF
0x0418,0xE0,0xFF
0x0419,0xBE,0xFF
0x041F,0xC0,0xFF
0x0432,0x44,0xFF
0x043D,0x13,0xFF
0x049D,0x0E,0xFF
0x049E,0x1D,0xFF
0x049F,0x0F,0xFF
0x04A0,0x0E,0xFF
0x04A1,0x01,0xFF
# Configuration Postamble
0x0420,0x01,0xFF
0x030C,0x01,0xFF
0x0414,0x01,0xFF
0x0230,0x03,0xFF
0x0092,0x0F,0xFF
0x009A,0x0F,0xFF
0x002C,0x0F,0xFF
0x003F,0xFF,0xFF
0x0436,0x04,0xFF
0x042C,0x87,0xFF
0x001C,0x02,0xFF
0x0B3C,0xFF,0xFF
0x0B3D,0x00,0xFF
0x049C,0x4E,0xFF
0x049C,0x4C,0xFF
0x010C,0x01,0xFF
0x0116,0x01,0xFF
