# DSPLLA Settings Differences Between All Plans
#
# Base Project: Si5347-RevD-Project.slabtimeproj
# Part: Si5347
# Design ID: <none>
# Inputs Vary Between Plans: Yes
# Created By: CBProFOTF1 v2.26.7 [2018-08-30]
# Timestamp: 2018-08-30 12:05:24 GMT-05:00
Setting,Base,Plan1,Plan2,Plan3
LOS0_TRG_THR,0x3B,0x39,0x3B,0x41
LOS1_TRG_THR,0x3B,0x39,0x3B,0x41
LOS0_CLR_THR,0x3B,0x39,0x3B,0x41
LOS1_CLR_THR,0x3B,0x39,0x3B,0x41
OOF0_DIV_SEL,0xB,0xE,0xB,0xA
OOF1_DIV_SEL,0xB,0xE,0xB,0xA
OOF0_SET_THR,0x32,0x5,0x32,0x32
OOF0_CLR_THR,0x31,0x0,0x31,0x31
FAST_OOF0_SET_THR,0x3,0x1,0x3,0x3
FAST_OOF0_CLR_THR,0x2,0x0,0x2,0x2
OOF0_RATIO_REF,0x10AAAAA,0xCF5C28,0xCF5C28,0xE00DE2
OOF1_RATIO_REF,0x10AAAAA,0xCF5C28,0xCF5C28,0xE00DE2
LOL_FST_SET_THR_SEL_PLLA,0x8,0x9,0xA,0x8
LOL_FST_CLR_THR_SEL_PLLA,0x6,0x7,0x9,0x6
LOL_SLW_DETWIN_SEL_PLLA,0x6,0x5,0x8,0x6
LOL_SLW_VALWIN_SEL_PLLA,0x1,0x1,0x3,0x1
LOL_SLW_SET_THR_PLLA,0x4,0x5,0x7,0x4
LOL_SLW_CLR_THR_PLLA,0x2,0x3,0x5,0x2
LOL_CLR_DELAY_DIV256_PLLA,0x31C5,0x3B94B,0x4D91,0x31E8
FASTLOCK_EXTEND_PLLA,0x3005,0x3B1D1,0x4BC0,0x3005
OUT1_RDIV_FORCE2,0x1,0x0,0x1,0x1
P0_NUM,0xD,0x4E,0xA,0x6
P1_NUM,0xD,0x4E,0xA,0x6
R1_REG,0x0,0x15,0x0,0x0
OOF0_CLR_THR_EXT,0x0,0x10,0x0,0x0
FASTLOCK_EXTEND_SCL_PLLA,0xC,0xA,0xC,0xC
LOL_SLW_VALWIN_SELX_PLLA,0x1,0x0,0x1,0x1
FASTLOCK_DLY_ONLOL_PLLA,0x119,0xEF5,0xE8,0x119
FASTLOCK_DLY_ONSW_PLLA,0x266,0x2666,0x266,0x266
N0_NUM,0x934000000,0x934000000,0x730A00000,0x934000000
N0_DEN,0xD6D80000,0xC6000000,0xA2000000,0xE00E0000
BW0_PLLA,0xF,0xE,0xF,0xF
BW1_PLLA,0x1E,0x1A,0x1D,0x1D
BW2_PLLA,0xD,0xF,0xD,0xD
BW3_PLLA,0xC,0xE,0xC,0xC
BW4_PLLA,0x3,0x1,0x3,0x3
FASTLOCK_BW0_PLLA,0x13,0x10,0x13,0x13
FASTLOCK_BW1_PLLA,0x28,0x21,0x28,0x28
FASTLOCK_BW2_PLLA,0x9,0xD,0x9,0x9
FASTLOCK_BW3_PLLA,0x8,0xC,0x8,0x8
FASTLOCK_BW4_PLLA,0x3,0x1,0x3,0x3
M_NUM_PLLA,0x14F28000000,0x1BEE0000000,0x14000000000,0x1E600400000
M_DEN_PLLA,0x80000000,0xC0000000,0x80000000,0xA2000000
HOLD_15M_CYC_COUNT_PLLA,0x363,0x344,0x35A,0x3B9
HSW_COARSE_PM_LEN_PLLA,0x11,0x13,0x11,0x11
BW0_HO_PLLA,0xF,0xE,0xF,0xF
BW1_HO_PLLA,0x20,0x1D,0x20,0x20
BW2_HO_PLLA,0xD,0xF,0xD,0xD
BW3_HO_PLLA,0xC,0xE,0xC,0xC
BW4_HO_PLLA,0x3,0x1,0x3,0x3
