# N2 Plans

Plan,Item,Value

# Plan #1
1,OUT4,155.52*255/237M
1,OUT5,155.52*255/237M
1,OUT6,155.52*255/237M
1,OUT7,155.52*255/237M
1,OUT8,155.52*255/237M
1,OUT9,155.52*255/237M

# Plan #2
2,OUT4,156.25M
2,OUT5,156.25M
2,OUT6,156.25M
2,OUT7,156.25M
2,OUT8,156.25M
2,OUT9,156.25M

# Plan #3
3,OUT4,132.8125M
3,OUT5,132.8125M
3,OUT6,132.8125M
3,OUT7,132.8125M
3,OUT8,132.8125M
3,OUT9,132.8125M

# Plan #4
4,OUT4,159.375M
4,OUT5,159.375M
4,OUT6,159.375M
4,OUT7,159.375M
4,OUT8,159.375M
4,OUT9,159.375M

# Plan #5
5,OUT4,156.25*66/64*255/237M
5,OUT5,156.25*66/64*255/237M
5,OUT6,156.25*66/64*255/237M
5,OUT7,156.25*66/64*255/237M
5,OUT8,156.25*66/64*255/237M
5,OUT9,156.25*66/64*255/237M
