# N2 Register Script - All Plans
#
# Base Project: Si5345-RevD-Project.slabtimeproj
# Part: Si5345
# Design ID: <none>
# Inputs Vary Between Plans: No
# Created By: CBProFOTF1 v2.23.5 [2018-05-02]
# Timestamp: 2018-05-02 10:37:17 GMT-05:00
Address,Base,Plan1,Plan2,Plan3,Plan4,Plan5
# Write Configuration
0x011C,0x02,0x02,0x06,0x06,0x02,0x06
0x0121,0x02,0x02,0x06,0x06,0x02,0x06
0x0126,0x02,0x02,0x06,0x06,0x02,0x06
0x012B,0x02,0x02,0x06,0x06,0x02,0x06
0x0130,0x02,0x02,0x06,0x06,0x02,0x06
0x013A,0x02,0x02,0x06,0x06,0x02,0x06
0x0256,0x02,0x02,0x00,0x00,0x01,0x00
0x0259,0x02,0x02,0x00,0x00,0x01,0x00
0x025C,0x02,0x02,0x00,0x00,0x01,0x00
0x025F,0x02,0x02,0x00,0x00,0x01,0x00
0x0262,0x02,0x02,0x00,0x00,0x01,0x00
0x0268,0x02,0x02,0x00,0x00,0x01,0x00
0x0318,0x00,0x40,0x00,0x00,0x00,0x00
0x0319,0x00,0x41,0x00,0x00,0x00,0x00
0x031A,0x68,0xBF,0x50,0x50,0x70,0x6C
0x031B,0xDB,0xD1,0xF1,0xF1,0x50,0x50
0x031C,0x0C,0x06,0x21,0x21,0x0B,0x14
0x0320,0x00,0x18,0x00,0x00,0x00,0xD0
0x0321,0xD8,0x81,0xC8,0xAA,0x88,0x84
# Configuration Postamble
0x0322,0x01,0x01,0x01,0x01,0x01,0x01
