# N2 Register Script - Base-Plan
#
# Base Project: Si5345-RevD-Project.slabtimeproj
# Part: Si5345
# Design ID: <none>
# Inputs Vary Between Plans: No
# Created By: CBProFOTF1 v2.23.5 [2018-05-02]
# Timestamp: 2018-05-02 10:37:17 GMT-05:00
#
# OUT4: 148.5 MHz
# OUT5: 148.5 MHz
# OUT6: 148.5 MHz
# OUT7: 148.5 MHz
# OUT8: 148.5 MHz
# OUT9: 148.5 MHz
# 
# Fms2 = 891 MHz
# N2 = 15.2379918981481481... [ 15 + 1645/6912 ]
# R4 = 6
# R5 = 6
# R6 = 6
# R7 = 6
# R8 = 6
# R9 = 6
# 
Address,Value
# Write Configuration
0x011C,0x02
0x0121,0x02
0x0126,0x02
0x012B,0x02
0x0130,0x02
0x013A,0x02
0x0256,0x02
0x0259,0x02
0x025C,0x02
0x025F,0x02
0x0262,0x02
0x0268,0x02
0x0318,0x00
0x0319,0x00
0x031A,0x68
0x031B,0xDB
0x031C,0x0C
0x0320,0x00
0x0321,0xD8
# Configuration Postamble
0x0322,0x01
