# N2 Settings Differences Between All Plans
#
# Base Project: Si5345-RevD-Project.slabtimeproj
# Part: Si5345
# Design ID: <none>
# Inputs Vary Between Plans: No
# Created By: CBProFOTF1 v2.23.5 [2018-05-02]
# Timestamp: 2018-05-02 10:37:17 GMT-05:00
Setting,Base,Plan1,Plan2,Plan3,Plan4,Plan5
OUT4_RDIV_FORCE2,0x0,0x0,0x1,0x1,0x0,0x1
OUT5_RDIV_FORCE2,0x0,0x0,0x1,0x1,0x0,0x1
OUT6_RDIV_FORCE2,0x0,0x0,0x1,0x1,0x0,0x1
OUT7_RDIV_FORCE2,0x0,0x0,0x1,0x1,0x0,0x1
OUT8_RDIV_FORCE2,0x0,0x0,0x1,0x1,0x0,0x1
OUT9_RDIV_FORCE2,0x0,0x0,0x1,0x1,0x0,0x1
R4_REG,0x2,0x2,0x0,0x0,0x1,0x0
R5_REG,0x2,0x2,0x0,0x0,0x1,0x0
R6_REG,0x2,0x2,0x0,0x0,0x1,0x0
R7_REG,0x2,0x2,0x0,0x0,0x1,0x0
R8_REG,0x2,0x2,0x0,0x0,0x1,0x0
R9_REG,0x2,0x2,0x0,0x0,0x1,0x0
N2_NUM,0xCDB680000,0x6D1BF4140,0x21F1500000,0x21F1500000,0xB50700000,0x14506C0000
N2_DEN,0xD8000000,0x81180000,0xC8000000,0xAA000000,0x88000000,0x84D00000
