Location,Setting,Varies,P1,P2,P3
0x0006[23:0],TOOL_VERSION,No,0x0,0x0,0x0
0x000B[6:0],I2C_ADDR,No,0x6C,0x6C,0x6C
0x0016[0],LOL_ON_HOLD_PLLA,No,0x1,0x1,0x1
0x0016[1],LOL_ON_HOLD_PLLB,No,0x1,0x1,0x1
0x0016[2],LOL_ON_HOLD_PLLC,No,0x1,0x1,0x1
0x0016[3],LOL_ON_HOLD_PLLD,No,0x1,0x1,0x1
0x0017[0],SYSINCAL_INTR_MSK,No,0x0,0x0,0x0
0x0017[1],LOSXAXB_INTR_MSK,No,0x0,0x0,0x0
0x0017[2],LOSREF_INTR_MSK,No,0x1,0x1,0x1
0x0017[3],XAXB_ERR_INTR_MSK,No,0x1,0x1,0x1
0x0017[5],SMB_TMOUT_INTR_MSK,No,0x0,0x0,0x0
0x0018[3:0],LOS_INTR_MSK,No,0x0,0x0,0x0
0x0018[7:4],OOF_INTR_MSK,No,0x0,0x0,0x0
0x0019[0],LOL_INTR_MSK_PLLA,No,0x0,0x0,0x0
0x0019[1],LOL_INTR_MSK_PLLB,No,0x0,0x0,0x0
0x0019[2],LOL_INTR_MSK_PLLC,No,0x0,0x0,0x0
0x0019[3],LOL_INTR_MSK_PLLD,No,0x0,0x0,0x0
0x0019[4],HOLD_INTR_MSK_PLLA,No,0x0,0x0,0x0
0x0019[5],HOLD_INTR_MSK_PLLB,No,0x0,0x0,0x0
0x0019[6],HOLD_INTR_MSK_PLLC,No,0x0,0x0,0x0
0x0019[7],HOLD_INTR_MSK_PLLD,No,0x0,0x0,0x0
0x001A[4],CAL_INTR_MSK_PLLA,No,0x0,0x0,0x0
0x001A[5],CAL_INTR_MSK_PLLB,No,0x0,0x0,0x0
0x001A[6],CAL_INTR_MSK_PLLC,No,0x0,0x0,0x0
0x001A[7],CAL_INTR_MSK_PLLD,No,0x0,0x0,0x0
0x0020[0],FSTEP_PLL_SINGLE,No,0x1,0x1,0x1
0x0020[1],FSTEP_PLL_REGCTRL,No,0x0,0x0,0x0
0x0020[3:2],FSTEP_PLL,No,0x0,0x0,0x0
0x002B[3],SPI_3WIRE,No,0x0,0x0,0x0
0x002C[3:0],LOS_EN,No,0xF,0xF,0xF
0x002C[4],LOSXAXB_DIS,No,0x0,0x0,0x0
0x002D[1:0],LOS0_VAL_TIME,No,0x1,0x1,0x1
0x002D[3:2],LOS1_VAL_TIME,No,0x1,0x1,0x1
0x002D[5:4],LOS2_VAL_TIME,No,0x1,0x1,0x1
0x002D[7:6],LOS3_VAL_TIME,No,0x1,0x1,0x1
0x002E[15:0],LOS0_TRG_THR,Yes,0xA8C,0x3B,0xB10
0x0030[15:0],LOS1_TRG_THR,Yes,0xA8C,0x3B,0xB10
0x0032[15:0],LOS2_TRG_THR,Yes,0xA8C,0x39,0xB10
0x0034[15:0],LOS3_TRG_THR,Yes,0xA8C,0x39,0xB10
0x0036[15:0],LOS0_CLR_THR,Yes,0xA8C,0x3B,0xB10
0x0038[15:0],LOS1_CLR_THR,Yes,0xA8C,0x3B,0xB10
0x003A[15:0],LOS2_CLR_THR,Yes,0xA8C,0x39,0xB10
0x003C[15:0],LOS3_CLR_THR,Yes,0xA8C,0x39,0xB10
0x003F[3:0],OOF_EN,No,0xF,0xF,0xF
0x003F[7:4],FAST_OOF_EN,No,0xF,0xF,0xF
0x0040[2:0],OOF_REF_SEL,No,0x4,0x4,0x4
0x0041[4:0],OOF0_DIV_SEL,No,0xB,0xB,0xB
0x0042[4:0],OOF1_DIV_SEL,No,0xB,0xB,0xB
0x0043[4:0],OOF2_DIV_SEL,Yes,0xB,0xC,0xB
0x0044[4:0],OOF3_DIV_SEL,Yes,0xB,0xC,0xB
0x0045[4:0],OOFXO_DIV_SEL,No,0xC,0xC,0xC
0x0046[7:0],OOF0_SET_THR,No,0x32,0x32,0x32
0x0047[7:0],OOF1_SET_THR,No,0x32,0x32,0x32
0x0048[7:0],OOF2_SET_THR,No,0x32,0x32,0x32
0x0049[7:0],OOF3_SET_THR,No,0x32,0x32,0x32
0x004A[7:0],OOF0_CLR_THR,No,0x31,0x31,0x31
0x004B[7:0],OOF1_CLR_THR,No,0x31,0x31,0x31
0x004C[7:0],OOF2_CLR_THR,No,0x31,0x31,0x31
0x004D[7:0],OOF3_CLR_THR,No,0x31,0x31,0x31
0x004E[2:0],OOF0_DETWIN_SEL,No,0x5,0x5,0x5
0x004E[6:4],OOF1_DETWIN_SEL,No,0x5,0x5,0x5
0x004F[2:0],OOF2_DETWIN_SEL,No,0x5,0x5,0x5
0x004F[6:4],OOF3_DETWIN_SEL,No,0x5,0x5,0x5
0x0050[3:0],OOF_ON_LOS,No,0xF,0xF,0xF
0x0051[3:0],FAST_OOF0_SET_THR,No,0x3,0x3,0x3
0x0052[3:0],FAST_OOF1_SET_THR,No,0x3,0x3,0x3
0x0053[3:0],FAST_OOF2_SET_THR,No,0x3,0x3,0x3
0x0054[3:0],FAST_OOF3_SET_THR,No,0x3,0x3,0x3
0x0055[3:0],FAST_OOF0_CLR_THR,No,0x2,0x2,0x2
0x0056[3:0],FAST_OOF1_CLR_THR,No,0x2,0x2,0x2
0x0057[3:0],FAST_OOF2_CLR_THR,No,0x2,0x2,0x2
0x0058[3:0],FAST_OOF3_CLR_THR,No,0x2,0x2,0x2
0x0059[1:0],FAST_OOF0_DETWIN_SEL,No,0x1,0x1,0x1
0x0059[3:2],FAST_OOF1_DETWIN_SEL,No,0x1,0x1,0x1
0x0059[5:4],FAST_OOF2_DETWIN_SEL,No,0x1,0x1,0x1
0x0059[7:6],FAST_OOF3_DETWIN_SEL,No,0x1,0x1,0x1
0x005A[25:0],OOF0_RATIO_REF,Yes,0x10AAAAA,0xCF5C28,0x10AAAAA
0x005E[25:0],OOF1_RATIO_REF,Yes,0x10AAAAA,0xCF5C28,0x10AAAAA
0x0062[25:0],OOF2_RATIO_REF,Yes,0xCF5C28,0x10AAAAA,0xCF5C28
0x0066[25:0],OOF3_RATIO_REF,Yes,0xCF5C28,0x10AAAAA,0xCF5C28
0x0092[0],LOL_FST_EN_PLLA,No,0x1,0x1,0x1
0x0092[1],LOL_FST_EN_PLLB,No,0x1,0x1,0x1
0x0092[2],LOL_FST_EN_PLLC,No,0x1,0x1,0x1
0x0092[3],LOL_FST_EN_PLLD,No,0x1,0x1,0x1
0x0093[3:0],LOL_FST_DETWIN_SEL_PLLA,No,0xA,0xA,0xA
0x0093[7:4],LOL_FST_DETWIN_SEL_PLLB,No,0xA,0xA,0xA
0x0094[3:0],LOL_FST_DETWIN_SEL_PLLC,No,0xA,0xA,0xA
0x0094[7:4],LOL_FST_DETWIN_SEL_PLLD,No,0xA,0xA,0xA
0x0095[1:0],LOL_FST_VALWIN_SEL_PLLA,No,0x0,0x0,0x0
0x0095[3:2],LOL_FST_VALWIN_SEL_PLLB,No,0x0,0x0,0x0
0x0095[5:4],LOL_FST_VALWIN_SEL_PLLC,No,0x0,0x0,0x0
0x0095[7:6],LOL_FST_VALWIN_SEL_PLLD,No,0x0,0x0,0x0
0x0096[3:0],LOL_FST_SET_THR_SEL_PLLA,No,0x8,0x8,0x8
0x0096[7:4],LOL_FST_SET_THR_SEL_PLLB,No,0x8,0x8,0x8
0x0097[3:0],LOL_FST_SET_THR_SEL_PLLC,No,0x8,0x8,0x8
0x0097[7:4],LOL_FST_SET_THR_SEL_PLLD,No,0x8,0x8,0x8
0x0098[3:0],LOL_FST_CLR_THR_SEL_PLLA,No,0x6,0x6,0x6
0x0098[7:4],LOL_FST_CLR_THR_SEL_PLLB,No,0x6,0x6,0x6
0x0099[3:0],LOL_FST_CLR_THR_SEL_PLLC,No,0x6,0x6,0x6
0x0099[7:4],LOL_FST_CLR_THR_SEL_PLLD,No,0x6,0x6,0x6
0x009A[0],LOL_SLOW_EN_PLLA,No,0x1,0x1,0x1
0x009A[1],LOL_SLOW_EN_PLLB,No,0x1,0x1,0x1
0x009A[2],LOL_SLOW_EN_PLLC,No,0x1,0x1,0x1
0x009A[3],LOL_SLOW_EN_PLLD,No,0x1,0x1,0x1
0x009B[3:0],LOL_SLW_DETWIN_SEL_PLLA,No,0x6,0x6,0x6
0x009B[7:4],LOL_SLW_DETWIN_SEL_PLLB,No,0x6,0x6,0x6
0x009C[3:0],LOL_SLW_DETWIN_SEL_PLLC,No,0x6,0x6,0x6
0x009C[7:4],LOL_SLW_DETWIN_SEL_PLLD,No,0x6,0x6,0x6
0x009D[1:0],LOL_SLW_VALWIN_SEL_PLLA,Yes,0x2,0x1,0x1
0x009D[3:2],LOL_SLW_VALWIN_SEL_PLLB,Yes,0x2,0x0,0x2
0x009D[5:4],LOL_SLW_VALWIN_SEL_PLLC,Yes,0x2,0x1,0x2
0x009D[7:6],LOL_SLW_VALWIN_SEL_PLLD,Yes,0x2,0x1,0x2
0x009E[3:0],LOL_SLW_SET_THR_PLLA,No,0x4,0x4,0x4
0x009E[7:4],LOL_SLW_SET_THR_PLLB,No,0x4,0x4,0x4
0x009F[3:0],LOL_SLW_SET_THR_PLLC,No,0x4,0x4,0x4
0x009F[7:4],LOL_SLW_SET_THR_PLLD,No,0x4,0x4,0x4
0x00A0[3:0],LOL_SLW_CLR_THR_PLLA,No,0x2,0x2,0x2
0x00A0[7:4],LOL_SLW_CLR_THR_PLLB,No,0x2,0x2,0x2
0x00A1[3:0],LOL_SLW_CLR_THR_PLLC,No,0x2,0x2,0x2
0x00A1[7:4],LOL_SLW_CLR_THR_PLLD,No,0x2,0x2,0x2
0x00A2[0],LOL_TIMER_EN_PLLA,No,0x0,0x0,0x0
0x00A2[1],LOL_TIMER_EN_PLLB,No,0x0,0x0,0x0
0x00A2[2],LOL_TIMER_EN_PLLC,No,0x0,0x0,0x0
0x00A2[3],LOL_TIMER_EN_PLLD,No,0x0,0x0,0x0
0x00A4[28:0],LOL_CLR_DELAY_DIV256_PLLA,Yes,0x62B9,0x31B6,0x338A
0x00A9[28:0],LOL_CLR_DELAY_DIV256_PLLB,Yes,0x6294,0x1A07,0x62E9
0x00AE[28:0],LOL_CLR_DELAY_DIV256_PLLC,Yes,0x62D9,0x3165,0x6335
0x00B3[28:0],LOL_CLR_DELAY_DIV256_PLLD,Yes,0x6304,0x3142,0x6364
0x00E5[4],FASTLOCK_EXTEND_EN_PLLA,No,0x1,0x1,0x1
0x00E5[5],FASTLOCK_EXTEND_EN_PLLB,No,0x1,0x1,0x1
0x00E5[6],FASTLOCK_EXTEND_EN_PLLC,No,0x1,0x1,0x1
0x00E5[7],FASTLOCK_EXTEND_EN_PLLD,No,0x1,0x1,0x1
0x00E6[28:0],FASTLOCK_EXTEND_PLLA,Yes,0x600A,0x3005,0x3005
0x00EA[28:0],FASTLOCK_EXTEND_PLLB,Yes,0x600A,0x1802,0x600A
0x00EE[28:0],FASTLOCK_EXTEND_PLLC,Yes,0x600A,0x3005,0x600A
0x00F2[28:0],FASTLOCK_EXTEND_PLLD,Yes,0x600A,0x3005,0x600A
0x0102[0],OUTALL_DISABLE_LOW,No,0x1,0x1,0x1
0x0108[0],OUT0_PDN,No,0x0,0x0,0x0
0x0108[1],OUT0_OE,No,0x1,0x1,0x1
0x0108[2],OUT0_RDIV_FORCE2,No,0x0,0x0,0x0
0x0109[2:0],OUT0_FORMAT,No,0x1,0x1,0x1
0x0109[3],OUT0_SYNC_EN,No,0x1,0x1,0x1
0x0109[5:4],OUT0_DIS_STATE,No,0x0,0x0,0x0
0x0109[7:6],OUT0_CMOS_DRV,No,0x0,0x0,0x0
0x010A[3:0],OUT0_CM,No,0xB,0xB,0xB
0x010A[6:4],OUT0_AMPL,No,0x3,0x3,0x3
0x010B[2:0],OUT0_MUX_SEL,Yes,0x0,0x3,0x0
0x010B[3],OUT0_VDD_SEL_EN,No,0x1,0x1,0x1
0x010B[5:4],OUT0_VDD_SEL,No,0x2,0x2,0x2
0x010B[7:6],OUT0_INV,No,0x0,0x0,0x0
0x010C[2:0],OUT0_DIS_SRC,Yes,0x1,0x4,0x1
0x0112[0],OUT1_PDN,No,0x0,0x0,0x0
0x0112[1],OUT1_OE,No,0x1,0x1,0x1
0x0112[2],OUT1_RDIV_FORCE2,Yes,0x1,0x0,0x0
0x0113[2:0],OUT1_FORMAT,No,0x1,0x1,0x1
0x0113[3],OUT1_SYNC_EN,No,0x1,0x1,0x1
0x0113[5:4],OUT1_DIS_STATE,No,0x0,0x0,0x0
0x0113[7:6],OUT1_CMOS_DRV,No,0x0,0x0,0x0
0x0114[3:0],OUT1_CM,No,0xB,0xB,0xB
0x0114[6:4],OUT1_AMPL,No,0x3,0x3,0x3
0x0115[2:0],OUT1_MUX_SEL,Yes,0x0,0x3,0x0
0x0115[3],OUT1_VDD_SEL_EN,No,0x1,0x1,0x1
0x0115[5:4],OUT1_VDD_SEL,No,0x2,0x2,0x2
0x0115[7:6],OUT1_INV,No,0x0,0x0,0x0
0x0116[2:0],OUT1_DIS_SRC,Yes,0x1,0x4,0x1
0x0117[0],OUT2_PDN,No,0x0,0x0,0x0
0x0117[1],OUT2_OE,No,0x1,0x1,0x1
0x0117[2],OUT2_RDIV_FORCE2,No,0x0,0x0,0x0
0x0118[2:0],OUT2_FORMAT,No,0x1,0x1,0x1
0x0118[3],OUT2_SYNC_EN,No,0x1,0x1,0x1
0x0118[5:4],OUT2_DIS_STATE,No,0x0,0x0,0x0
0x0118[7:6],OUT2_CMOS_DRV,No,0x0,0x0,0x0
0x0119[3:0],OUT2_CM,No,0xB,0xB,0xB
