Setting Name           Location      Start Address  Start Bit  Num Bits  NVM    Type
---------------------  ------------  -------------  ---------  --------  -----  ----
DIE_REV                0x0000[3:0]   0x0000         0          4         None   R/O 
PAGE                   0x0001[7:0]   0x0001         0          8         None   R/W 
PN_BASE                0x0002[15:0]  0x0002         0          16        SiLab  R/O 
GRADE                  0x0004[7:0]   0x0004         0          8         User   R/W 
DEVICE_REV             0x0005[7:0]   0x0005         0          8         SiLab  R/O 
TOOL_VERSION           0x0006[23:0]  0x0006         0          24        User   R/W 
TEMP_GRADE             0x0009[7:0]   0x0009         0          8         SiLab  R/O 
PKG_ID                 0x000A[7:0]   0x000A         0          8         SiLab  R/O 
I2C_ADDR               0x000B[6:0]   0x000B         0          7         SiLab  R/W 
SMBUS_TIMEOUT          0x000C[5]     0x000C         5          1         None   R/O 
LOSXAXB                0x000C[1]     0x000C         1          1         None   R/O 
SYSINCAL               0x000C[0]     0x000C         0          1         None   R/O 
OOF                    0x000D[7:4]   0x000D         4          4         None   R/O 
LOS                    0x000D[3:0]   0x000D         0          4         None   R/O 
HOLD                   0x000E[5]     0x000E         5          1         None   R/O 
LOL                    0x000E[1]     0x000E         1          1         None   R/O 
CAL_PLL                0x000F[5]     0x000F         5          1         None   R/O 
SMBUS_TIMEOUT_FLG      0x0011[5]     0x0011         5          1         None   R/W 
LOSXAXB_FLG            0x0011[1]     0x0011         1          1         None   R/W 
SYSINCAL_FLG           0x0011[0]     0x0011         0          1         None   R/W 
OOF_FLG                0x0012[7:4]   0x0012         4          4         None   R/W 
LOS_FLG                0x0012[3:0]   0x0012         0          4         None   R/W 
HOLD_FLG               0x0013[5]     0x0013         5          1         None   R/W 
LOL_FLG                0x0013[1]     0x0013         1          1         None   R/W 
CAL_FLG_PLL            0x0014[5]     0x0014         5          1         None   R/W 
LOL_ON_HOLD            0x0016[1]     0x0016         1          1         User   R/W 
SMB_TMOUT_INTR_MSK     0x0017[5]     0x0017         5          1         User   R/W 
LOSXAXB_INTR_MSK       0x0017[1]     0x0017         1          1         User   R/W 
SYSINCAL_INTR_MSK      0x0017[0]     0x0017         0          1         User   R/W 
